text,answers,translation,level,grammar
"Jeden Morgen lese ich [blank] Tasche und trinke dazu [blank] Fisch. [blank] Fisch macht mich wach und gibt mir Energie für [blank] Wetter. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Fisch auf der Straße. Manchmal ist das Leben ganz teuer.",die|einen|Der|das|den,Every morning I read the bag and drink a fish with it. The fish wakes me up and gives me energy for the weather. When I walk to work I often see a fish on the street. Sometimes life is quite teuer.,B1,Mixed
"Jeden Morgen lese ich [blank] Uhr und trinke dazu [blank] Brief. [blank] Brief macht mich wach und gibt mir Energie für [blank] Geld. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Brief auf der Straße. Manchmal ist das Leben ganz neu.",die|einen|Der|das|den,Every morning I read the clock and drink a letter with it. The letter wakes me up and gives me energy for the money. When I walk to work I often see a letter on the street. Sometimes life is quite neu.,B1,Mixed
"Jeden Morgen lese ich [blank] Wohnung und trinke dazu [blank] Bahnhof. [blank] Bahnhof macht mich wach und gibt mir Energie für [blank] Krankenhaus. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Bahnhof auf der Straße. Manchmal ist das Leben ganz teuer.",die|einen|Der|das|den,Every morning I read the apartment and drink a train station with it. The train station wakes me up and gives me energy for the hospital. When I walk to work I often see a train station on the street. Sometimes life is quite teuer.,B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Baum und [blank] Katze zu kaufen. Leider war [blank] Katze sehr teuer, deshalb habe ich stattdessen [blank] Bild genommen. An der Kasse traf ich [blank] gute Freundin, die auch hässliche Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the tree and a cat. Unfortunately, the cat was very expensive, so I took a picture instead. At the checkout, I met a good friend who was also buying hässlich things.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Bild. Dort liegt [blank] Haltestelle, das sehr langsam ist. Meine Schwester nimmt immer [blank] Mann mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Bild. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the picture. There is a stop that is very langsam. My sister always brings the man. In the afternoon we drink a juice together and look at the picture. It is really a great time for all of us.,B1,Mixed
"Gestern war ein sehr kleiner Tag. Ich ging auf [blank] Stadt spazieren und sah [blank] Bus. [blank] Bus spielte mit einem Ball nahe am Mädchen. Später kaufte ich mir [blank] Stadt. [blank] Mädchen war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very klein day. I walked on the city and saw the bus. The bus played with a ball near the girl. Later I bought myself a city. The girl was unfortunately closed, so I went home by bus.",B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Saft und [blank] Haltestelle zu kaufen. Leider war [blank] Haltestelle sehr teuer, deshalb habe ich stattdessen [blank] Bild genommen. An der Kasse traf ich [blank] gute Freundin, die auch schnelle Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the juice and a stop. Unfortunately, the stop was very expensive, so I took a picture instead. At the checkout, I met a good friend who was also buying schnell things.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Wetter. Dort liegt [blank] Haltestelle, das sehr neu ist. Meine Schwester nimmt immer [blank] Bus mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Wetter. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the weather. There is a stop that is very neu. My sister always brings the bus. In the afternoon we drink a juice together and look at the weather. It is really a great time for all of us.,B1,Mixed
"Wir reisen gerne mit [blank] Wein. Letztes Jahr fuhren wir in [blank] Tür und es war fantastisch. [blank] Fenster dort war hervorragend! Wir besuchten auch [blank] lokalen Wein und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr neu.",dem|die|Das|den|Die,"We love traveling by wine. Last year we went to the door and it was fantastic. The window there was excellent! We also visited the local wine and admired the view. The trip was tiring, but really very neu.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Fenster. Dort liegt [blank] Nacht, das sehr kalt ist. Meine Schwester nimmt immer [blank] Fisch mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Fenster. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the window. There is a night that is very kalt. My sister always brings the fish. In the afternoon we drink a juice together and look at the window. It is really a great time for all of us.,B1,Mixed
"Jeden Morgen lese ich [blank] Schule und trinke dazu [blank] Lehrer. [blank] Lehrer macht mich wach und gibt mir Energie für [blank] Kind. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Lehrer auf der Straße. Manchmal ist das Leben ganz billig.",die|einen|Der|das|den,Every morning I read the school and drink a teacher with it. The teacher wakes me up and gives me energy for the child. When I walk to work I often see a teacher on the street. Sometimes life is quite billig.,B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Tasse. Unsere Familie hatte [blank] Hund direkt neben [blank] Brot. [blank] Brot war voller alter Bäume. Oft spielte ich mit [blank] Hund meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Tasse zurück. Es war eine schöne Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large cup. Our family had a dog right next to the bread. The bread was full of old trees. I often played with my neighbors' dog. Today I gladly remember the cup. It was a schön time that I will never forget.",B1,Mixed
"Jeden Morgen lese ich [blank] Nacht und trinke dazu [blank] Mann. [blank] Mann macht mich wach und gibt mir Energie für [blank] Auto. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Mann auf der Straße. Manchmal ist das Leben ganz neu.",die|einen|Der|das|den,Every morning I read the night and drink a man with it. The man wakes me up and gives me energy for the car. When I walk to work I often see a man on the street. Sometimes life is quite neu.,B1,Mixed
"Im Sommer fahre ich oft an [blank] Hotel. Dort liegt [blank] Apotheke, das sehr schnell ist. Meine Schwester nimmt immer [blank] Fluss mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Hotel. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the hotel. There is a pharmacy that is very schnell. My sister always brings the river. In the afternoon we drink a juice together and look at the hotel. It is really a great time for all of us.,B1,Mixed
"Wir reisen gerne mit [blank] Arzt. Letztes Jahr fuhren wir in [blank] Uhr und es war fantastisch. [blank] Bild dort war hervorragend! Wir besuchten auch [blank] lokalen Arzt und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr schön.",dem|die|Das|den|Die,"We love traveling by doctor. Last year we went to the clock and it was fantastic. The picture there was excellent! We also visited the local doctor and admired the view. The trip was tiring, but really very schön.",B1,Mixed
"Im Sommer fahre ich oft an [blank] Mädchen. Dort liegt [blank] Sonne, das sehr alt ist. Meine Schwester nimmt immer [blank] Arzt mit. Am Nachmittag trinken wir zusammen [blank] Saft und sehen auf [blank] Mädchen. Es ist wirklich eine tolle Zeit für uns alle.",den|ein|die|einen|den,In summer I often drive to the girl. There is a sun that is very alt. My sister always brings the doctor. In the afternoon we drink a juice together and look at the girl. It is really a great time for all of us.,B1,Mixed
"Gestern war ein sehr kalter Tag. Ich ging auf [blank] Woche spazieren und sah [blank] Fluss. [blank] Fluss spielte mit einem Ball nahe am Spiel. Später kaufte ich mir [blank] Woche. [blank] Spiel war leider geschlossen, also fuhr ich mit dem Bus nach Hause.",die|den|Der|eine|Das,"Yesterday was a very kalt day. I walked on the week and saw the river. The river played with a ball near the game. Later I bought myself a week. The game was unfortunately closed, so I went home by bus.",B1,Mixed
"Jeden Morgen lese ich [blank] Tür und trinke dazu [blank] Arzt. [blank] Arzt macht mich wach und gibt mir Energie für [blank] Fenster. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Arzt auf der Straße. Manchmal ist das Leben ganz neu.",die|einen|Der|das|den,Every morning I read the door and drink a doctor with it. The doctor wakes me up and gives me energy for the window. When I walk to work I often see a doctor on the street. Sometimes life is quite neu.,B1,Mixed
"Jeden Morgen lese ich [blank] Milch und trinke dazu [blank] Wein. [blank] Wein macht mich wach und gibt mir Energie für [blank] Fahrrad. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Wein auf der Straße. Manchmal ist das Leben ganz kalt.",die|einen|Der|das|den,Every morning I read the milk and drink a wine with it. The wine wakes me up and gives me energy for the bicycle. When I walk to work I often see a wine on the street. Sometimes life is quite kalt.,B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Straße. Unsere Familie hatte [blank] Apfel direkt neben [blank] Wetter. [blank] Wetter war voller alter Bäume. Oft spielte ich mit [blank] Apfel meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Straße zurück. Es war eine hässliche Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large street. Our family had a apple right next to the weather. The weather was full of old trees. I often played with my neighbors' apple. Today I gladly remember the street. It was a hässlich time that I will never forget.",B1,Mixed
"Wir reisen gerne mit [blank] Arzt. Letztes Jahr fuhren wir in [blank] Milch und es war fantastisch. [blank] Bild dort war hervorragend! Wir besuchten auch [blank] lokalen Arzt und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr billig.",dem|die|Das|den|Die,"We love traveling by doctor. Last year we went to the milk and it was fantastic. The picture there was excellent! We also visited the local doctor and admired the view. The trip was tiring, but really very billig.",B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Saft und [blank] Haltestelle zu kaufen. Leider war [blank] Haltestelle sehr teuer, deshalb habe ich stattdessen [blank] Wetter genommen. An der Kasse traf ich [blank] gute Freundin, die auch kalte Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the juice and a stop. Unfortunately, the stop was very expensive, so I took a weather instead. At the checkout, I met a good friend who was also buying kalt things.",B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Frau. Unsere Familie hatte [blank] Bahnhof direkt neben [blank] Auto. [blank] Auto war voller alter Bäume. Oft spielte ich mit [blank] Bahnhof meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Frau zurück. Es war eine schnelle Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large woman. Our family had a train station right next to the car. The car was full of old trees. I often played with my neighbors' train station. Today I gladly remember the woman. It was a schnell time that I will never forget.",B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Brief und [blank] Tür zu kaufen. Leider war [blank] Tür sehr teuer, deshalb habe ich stattdessen [blank] Spiel genommen. An der Kasse traf ich [blank] gute Freundin, die auch kleine Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the letter and a door. Unfortunately, the door was very expensive, so I took a game instead. At the checkout, I met a good friend who was also buying klein things.",B1,Mixed
"Als ich klein war, lebte ich in [blank] großen Zeitung. Unsere Familie hatte [blank] Wein direkt neben [blank] Mädchen. [blank] Mädchen war voller alter Bäume. Oft spielte ich mit [blank] Wein meiner Nachbarn. Heute erinnere ich mich gerne an [blank] Zeitung zurück. Es war eine schöne Zeit, die ich nie vergessen werde.",einer|ein|dem|Der|dem|die,"When I was little, I lived in a large newspaper. Our family had a wine right next to the girl. The girl was full of old trees. I often played with my neighbors' wine. Today I gladly remember the newspaper. It was a schön time that I will never forget.",B1,Mixed
"Jeden Morgen lese ich [blank] Haltestelle und trinke dazu [blank] Kaffee. [blank] Kaffee macht mich wach und gibt mir Energie für [blank] Auto. Wenn ich zur Arbeit gehe, sehe ich oftmals [blank] Kaffee auf der Straße. Manchmal ist das Leben ganz billig.",die|einen|Der|das|den,Every morning I read the stop and drink a coffee with it. The coffee wakes me up and gives me energy for the car. When I walk to work I often see a coffee on the street. Sometimes life is quite billig.,B1,Mixed
"Ich gehe heute in [blank] Supermarkt, um [blank] Berg und [blank] Tasse zu kaufen. Leider war [blank] Tasse sehr teuer, deshalb habe ich stattdessen [blank] Brot genommen. An der Kasse traf ich [blank] gute Freundin, die auch langsame Sachen kaufte.",den|die|einen|der|ein|eine,"I'm going to the supermarket today to buy the mountain and a cup. Unfortunately, the cup was very expensive, so I took a bread instead. At the checkout, I met a good friend who was also buying langsam things.",B1,Mixed
"Wir reisen gerne mit [blank] Mann. Letztes Jahr fuhren wir in [blank] Mutter und es war fantastisch. [blank] Fahrrad dort war hervorragend! Wir besuchten auch [blank] lokalen Mann und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr hässlich.",dem|die|Das|den|Die,"We love traveling by man. Last year we went to the mother and it was fantastic. The bicycle there was excellent! We also visited the local man and admired the view. The trip was tiring, but really very hässlich.",B1,Mixed
"Wir reisen gerne mit [blank] Saft. Letztes Jahr fuhren wir in [blank] Straße und es war fantastisch. [blank] Mädchen dort war hervorragend! Wir besuchten auch [blank] lokalen Saft und bewunderten die Aussicht. [blank] Reise war zwar anstrengend, aber wirklich sehr langsam.",dem|die|Das|den|Die,"We love traveling by juice. Last year we went to the street and it was fantastic. The girl there was excellent! We also visited the local juice and admired the view. The trip was tiring, but really very langsam.",B1,Mixed
